Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,IDN,Ekspor teknologi tinggi (% dari ekspor barang pabrikan),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07712077,10.63599253,10.67781376,9.566182732,9.281733819,8.88659189,7.998417961,8.446123171,8.212824228,8.092030411,8.424664172,7.203446305,
Indonesia,IDN,Indeks syarat barter perdagangan bersih (2000 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,182.5581395,182.1428571,172.1518987,173.0769231,156.7567568,108.4507042,96.20253165,81.81818182,81.72043011,94.89795918,91.26213592,88.57142857,88.34951456,84.90566038,90.35087719,97.32142857,99.04761905,81.81818182,66.32653061,100,101.2240193,100.903277,103.1981646,105.3481075,107.259955,113.5357829,117.1321658,125.5566599,119.8921913,127.1553729,134.2163952,129.0984665,121.8435134,119.0541123,116.1478699,115.0697358,117.463601,115.8501958,115.376208,113.4371835,,
Indonesia,IDN,Perdagangan barang (% dari PDB),TG.VAL.TOTL.GD.ZS,,,,,,,,23.18377592,20.44806184,19.61037528,23.05838323,25.03874105,30.36119632,36.501614,43.67033993,38.97077319,38.15487467,37.29186721,35.62869263,44.34419718,45.17376396,41.54903413,43.42576908,46.2713676,42.17140797,33.82831743,33.51048813,39.5445163,38.80656262,40.87180137,44.76321313,47.17034675,47.83914017,41.23306156,40.72425061,42.56970088,40.78951963,49.87369614,89.73703008,60.40227417,66.05098262,59.1441603,49.83425096,45.27958614,48.91976662,56.92160301,50.51889628,48.84447583,52.35770431,39.55520333,38.86164341,42.65914651,41.58791957,40.45712164,39.79188691,34.04304562,30.06221749,32.0726653,35.38732365,30.288539,28.80241682,36.05923002,
Indonesia,IDN,"Populasi, total",SP.POP.TOTL,88382881,90816938,93345489,95962527,98675061,101157868,103561105,106260749,109138723,112149246,115228394,118347135,121504145,124709058,127945196,131213215,134521025,137861540,141250964,144693087,148177096,151686337,155228658,158790611,162331962,165791694,169135273,172421390,175694647,178949174,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,
Indonesia,IDN,Pertumbuhan populasi (% tahunan),SP.POP.GROW,,2.716751302,2.746173525,2.765022621,2.787446823,2.485010632,2.347947891,2.573414478,2.672379138,2.721077668,2.708565578,2.670593422,2.632624962,2.603511095,2.56185276,2.522157954,2.4896911,2.452934162,2.428834663,2.407666301,2.379329522,2.340666337,2.308442639,2.268717962,2.205696436,2.10887582,1.996668176,1.924259576,1.880610557,1.835429336,1.778290867,1.742177499,1.710135304,1.67182801,1.650685577,1.63416752,1.618816861,1.6030893,1.564932863,1.500042943,1.447088484,1.410098855,1.373519281,1.338043891,1.273226489,1.260748296,1.299308899,1.311847596,1.302170535,1.27153209,1.251517291,1.255738089,1.255941458,1.21281781,1.159506642,1.110854932,1.058942059,1.006439524,0.966206436,0.937689274,0.840389268,0.694717688,
Indonesia,IDN,"Tingkat kesuburan, total (kelahiran per wanita).",SP.DYN.TFRT.IN,5.547,5.57,5.589,5.604,5.614,5.616,5.601,5.577,5.54,5.506,5.447,5.363,5.291,5.217,5.093,5.035,4.923,4.809,4.715,4.613,4.493,4.359,4.249,4.095,3.941,3.711,3.527,3.42,3.331,3.223,3.098,3.056,2.942,2.882,2.838,2.798,2.77,2.738,2.655,2.578,2.536,2.497,2.456,2.428,2.418,2.433,2.453,2.491,2.479,2.459,2.452,2.499,2.49,2.427,2.389,2.345,2.309,2.262,2.234,2.215,2.194,2.175,
Indonesia,IDN,"Harapan hidup saat lahir, total (tahun)",SP.DYN.LE00.IN,46.452,47.117,47.871,48.429,49.232,42.599,48.2,51.066,51.63,52.354,52.992,53.576,54.242,54.85,55.429,55.968,56.514,57.081,57.565,58.153,58.754,59.138,59.757,60.273,60.728,61.307,61.722,61.973,62.211,62.696,63.181,63.537,64.126,64.598,64.856,65.237,65.355,65.733,65.962,66.221,66.433,66.758,67.134,67.413,65.75,67.649,67.914,68.189,68.226,68.494,68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57,
Indonesia,IDN,"Angka kematian, bayi (per 1.000 kelahiran hidup)",SP.DYN.IMRT.IN,149.4,145.5,141.8,138.2,134.6,144.7,127.4,123.7,120.1,116.7,113.4,110.1,106.9,103.8,100.8,97.9,95.2,92.5,90,87.6,85.2,82.8,80.5,78.2,75.9,73.5,71.2,68.9,66.6,64.2,61.8,59.4,57.1,54.8,52.6,50.5,48.4,46.4,44.6,42.8,41,39.4,37.8,36.4,37.1,33.6,32.4,31.2,30.1,29,27.9,26.9,25.9,25,24.1,23.2,22.4,21.6,20.8,20.1,19.5,18.9,
Indonesia,IDN,Prevalensi kontrasepsi (% dari wanita usia 15-49),SP.DYN.CONU.ZS,,,,,,,,,,,,,,8.6,,,26.3,,,31.2,,,,,,38.5,,47.7,,,,49.7,,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,61.4,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,,,,,
Indonesia,IDN,Tingkat kesuburan remaja (jumlah kelahiran per 1.000 wanita usia 15-19),SP.ADO.TFRT,144.143,144.703,145.693,146.22,147.08,147.564,142.414,138.567,134.249,130.715,127.711,127.821,126.61,128.194,125.7,120.747,119.064,118.666,119.108,116.146,113.951,111.454,109.173,103.643,100.378,91.314,83.869,83.571,79.102,76.271,74.708,72.104,68.659,65.69,64.338,63.742,61.394,59.55,57.393,55.509,54.557,54.091,52.425,51.032,48.246,47.849,47.363,47.631,47.016,45.899,45.847,45.537,44.762,43.219,40.797,38.928,36.615,36.012,35.293,34.867,34.485,,
